source_text,translated_text,context
Series,السلسلة,
Company,الشركة,
Transaction Type,نوع الحركة,
Posting Date,التاريخ,
Mode of Payment,طريقة الدفع,
Amount,المبلغ,
Party Details,الجهة المستفيدة,
Has Party,يوجد طرف,
Party Type,نوع الطرف,
Party,الطرف,
Invoice Allocation,تخصيص الفواتير,
Fetch Outstanding Invoices,جلب الفواتير غير المسددة,
Invoices,الفواتير,
Direct Account,الحساب المباشر,
Expense / Income Account,حساب المصروف / الإيراد,
Additional Information,معلومات إضافية,
Remarks,البيان,
Linked Document,المستند المرتبط,
Receipt,قبض,
Payment,صرف,
Lite Transaction,حركة مبسطة,
Lite Transaction Reference,مرجع الحركة المبسطة,
Document Type,نوع المستند,
Document Number,رقم المستند,
Total Amount,إجمالي الفاتورة,
Outstanding Amount,المتبقي,
Allocated Amount,المبلغ المخصص,
Has Party,يوجد طرف,
Fetch Outstanding Invoices,جلب الفواتير غير المسددة,
Please select Party Type first,الرجاء تحديد نوع الطرف أولاً,
Please select Party first,الرجاء تحديد الطرف أولاً,
Fetching invoices...,جاري جلب الفواتير...,
Successfully fetched {0} outstanding invoice(s). Please enter allocated amounts.,تم جلب {0} فاتورة غير مسددة. الرجاء تحديد المبالغ المخصصة.,
No outstanding invoices found for this party.,لا توجد فواتير غير مسددة لهذا الطرف.,
View {0},عرض {0},
Linked Document,المستند المرتبط,
Print Receipt,طباعة الإيصال,
Allocation Error,خطأ في التخصيص,
Total allocated amount ({0}) exceeds the transaction amount ({1}).,إجمالي المبالغ المخصصة ({0}) يتجاوز مبلغ الحركة ({1}).,
Allocated amount cannot exceed the outstanding amount ({0}).,لا يمكن أن يتجاوز المبلغ المخصص المتبقي للفاتورة ({0}).,
